Name,City,County,MARegion,Setting,Public,Community,Graduate,NumStudents,NetPrice,Housing,PctMen,PctWhite,Christian,GradRate,TotalClubs,LGBTClubs
American International College,Springfield,Hampden,West,City: Midsize,0,0,Undergraduate and graduate,2142,21454,1,48,35,0,42,75,1
Amherst College,Amherst,Hampshire,West,City: Small,0,0,Exclusively undergraduate,1910,17965,1,46,36,0,93,188,4
Anna Maria College,Paxton,Worcester,Central,Rural,0,0,Undergraduate and graduate,1332,28732,1,62,57,1,40,22,1
Assumption University,Worcester,Worcester,Central,City: Midsize,0,0,Undergraduate and graduate,2046,29072,1,45,73,1,75,38,1
Babson College,Wellesley,Norfolk,Southeast,Suburb,0,0,Undergraduate and graduate,3943,30220,1,57,27,0,92,121,1
Bay Path University,Longmeadow,Hampden,West,Suburb,0,0,Undergraduate and graduate,2643,14935,1,0,47,0,57,19,1
Benjamin Franklin Cummings Institute of Technology,Boston,Suffolk,Northeast,City: Large,0,0,Exclusively undergraduate,592,20419,0,80,17,0,47,7,0
Bentley University,Waltham,Middlesex,Northeast,City: Small,0,0,Undergraduate and graduate,5264,43858,1,61,55,0,88,146,1
Berklee College of Music,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,8448,48608,1,56,37,0,66,118,1
Berkshire Community College,Pittsfield,Berkshire,West,Rural,1,1,Exclusively undergraduate,1572,8264,0,33,68,0,23,18,1
Boston Architectural College,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,787,37565,0,41,30,0,38,8,1
Boston Baptist College,Boston,Suffolk,Northeast,City: Large,0,0,Exclusively undergraduate,33,19506,1,67,70,1,44,2,0
Boston College,Chestnut Hill,Suffolk,Northeast,City: Small,0,0,Undergraduate and graduate,15280,32590,1,47,59,1,91,479,7
Boston Graduate School of Psychoanalysis Inc,Brookline,Norfolk,Southeast,Suburb,0,0,Exclusively graduate,169,NA,0,34,40,0,NA,4,0
Boston University,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,36624,27551,1,42,33,0,90,441,4
Brandeis University,Waltham,Middlesex,Northeast,City: Small,0,0,Undergraduate and graduate,5302,44668,1,43,42,0,86,222,3
Bridgewater State University,Bridgewater,Plymouth,Southeast,Suburb,1,0,Undergraduate and graduate,9550,16230,1,42,69,0,55,90,4
Bristol Community College,Fall River,Bristol,Southeast,Suburb,1,1,Exclusively undergraduate,6096,5738,0,34,57,0,21,20,1
Bunker Hill Community College,Boston,Suffolk,Northeast,City: Large,1,1,Exclusively undergraduate,8545,7669,0,41,17,0,19,28,1
Cambridge College,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,1952,NA,0,25,21,0,13,1,0
Cape Cod Community College,West Barnstable,Barnstable,Southeast,City: Small,1,1,Exclusively undergraduate,2604,9220,0,36,64,0,22,30,1
Clark University,Worcester,Worcester,Central,City: Midsize,0,0,Undergraduate and graduate,4124,32767,1,43,62,0,77,215,4
College of Our Lady of the Elms,Chicopee,Hampden,West,Suburb,0,0,Undergraduate and graduate,1332,22311,1,29,46,1,65,23,1
College of the Holy Cross,Worcester,Worcester,Central,City: Midsize,0,0,Exclusively undergraduate,3035,35455,1,45,72,1,90,100,1
Curry College,Milton,Norfolk,Southeast,Suburb,0,0,Undergraduate and graduate,1994,30367,1,42,64,0,48,56,1
Dean College,Franklin,Norfolk,Southeast,Suburb,0,0,Exclusively undergraduate,1151,31472,1,48,64,0,43,40,1
Emerson College,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,5670,50703,1,33,55,0,79,181,2
Emmanuel College,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,2059,33214,1,22,63,1,66,99,1
Endicott College,Beverly,Essex,Northeast,Suburb,0,0,Undergraduate and graduate,4254,39988,1,35,81,0,75,50,1
Fisher College,Boston,Suffolk,Northeast,City: Large,0,0,Undergraduate and graduate,1501,27827,1,38,22,0,28,16,1
Fitchburg State University,Fitchburg,Worcester,Central,Suburb,1,0,Undergraduate and graduate,6296,15820,1,47,62,0,53,64,1
Framingham State University,Framingham,Middlesex,Northeast,City: Small,1,0,Undergraduate and graduate,4028,16640,1,45,50,0,50,116,0
Franklin W Olin College of Engineering,Needham,Norfolk,Southeast,Suburb,0,0,Exclusively undergraduate,402,40370,1,52,45,0,92,65,1
Gordon College,Wenham,Essex,Northeast,Rural,0,0,Undergraduate and graduate,1610,25250,1,42,61,1,68,92,0
Greenfield Community College,Greenfield,Franklin,West,Town,1,1,Exclusively undergraduate,1544,7674,0,37,68,0,22,10,1
Hampshire College,Amherst,Hampshire,West,Rural,0,0,Exclusively undergraduate,717,27556,1,38,59,0,57,155,2
Harvard University,Cambridge,Middlesex,Northeast,City: Midsize,0,0,Undergraduate and graduate,30386,17900,1,47,30,0,97,400,6
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,Norfolk,Southeast,Suburb,0,0,Undergraduate and graduate,199,23317,1,73,57,1,44,10,0
Holyoke Community College,Holyoke,Hampden,West,Rural,1,1,Exclusively undergraduate,3706,6899,0,34,50,0,32,40,1
Hult International Business School,Cambridge,Middlesex,Northeast,City: Midsize,0,0,Undergraduate and graduate,2003,51986,1,62,4,0,66,4,0
Laboure College of Healthcare,Milton,Norfolk,Southeast,Suburb,0,0,Exclusively undergraduate,717,NA,0,12,32,1,NA,2,0
