SchoolName,ClubName,ClubPopn,ClubGenPopn,ClubMission
American International College,PLUS,All LGBT and Allies,All LGBT and Allies,"The purpose of PLUS shall be to bring people of every sexuality and gender together at American International College. This will then create a safe/brave place to socialize, build friendships, support one another, encourage open-mindedness, and promote diversity within the American International College. This organization will also be a space to help fight for racial, gender, and sexual orientation justice."
Amherst College,AceAroGrey Space,Asexual/Aromantic,Specific LGBT Identity,"AceAroGrey Space is an affinity group for students who identify on the asexuality or aromanticism spectrums. We are a safe and welcoming community that hosts events and discussions related to sexuality, attraction, and queerness."
Amherst College,"oSTEM (Out in Science, Technology, Engineering, and Mathematics)",LGBT in STEM,Specific Academic Discipline,"oSTEM is a non-profit professional association for LGBTQ+ people in the STEM community. Our Amherst College chapter is devoted to creating a safe space for discussion about LGBTQ+ identities in STEM, as well as speaking about our collective experiences in our fields of choice."
Amherst College,QTPOC (Queer and Trans People of Color Collective),BIPOC LGBT,LGBT Students of Color,"QTPOC (Queer and Trans People of Color) Collective serves a unique purpose as an RSO in the Amherst College community in addressing both national and institutional structures in place that have historically disadvantaged and continue to oppress students of color whose sexuality and gender identities place them outside of cisheteronormative society. The reach and purpose of QTPOC Collective includes but is not limited to: Cultivating a safe and affirming space for LGBTQ+ students of color who self-identify as queer and/or trans, including questioning individuals and allies that recognize the intersectionality of queer/trans identities with race, class, and other factors; Fostering a sense of community and belonging among self-identifying queer/trans students of color by centering experiences outside of whiteness; Organizing a space that allows for: Political action, activism, and student advocacy that addresses national/international systems of oppression; Pushing for institutional and communal accountability surrounding issues that affect QTPOC both directly and indirectly, including healthcare, access to resources, faculty and staff representation, policing, etc.; Education, particularly about issues that impact QTPOC and other marginalized intersectional identities; Collaboration with other RSOs, OICR (Office of Identity and Cultural Resources), and other on-campus departments to address the absence of intersectionality in many cisheteronormative and white-centric spaces on campus; Connection with the broader queer community within the Pioneer Valley and the Five College Consortium"
Amherst College,Queer Athlete Alliance,LGBT in Sports,Specific Non-LGBT Identity,"The Queer Athlete Alliance is a space which brings together queer athletes and allies to share our experiences, process events, and create a queer community within athletics. At meetings, we decompress, discuss the week's events on our teams, and brainstorm ways to work with Athletics Administrators to make the gym a more welcoming space for all identities. We also serve as an educational space for cis-straight athletes and open our speaking events and educational meetings to all members of the Amherst student body. The E-Board serves as a liaison between the QRC Director and Director of Athletics, and carries extra responsibility in setting policies and creating tangible change in and outside of athletics. This year we are primarily focused on growing our membership, setting norms for the rebranding (QAA was formally Athletes and Allies), and working with Athletics to be more inclusive of gender non-conforming identities."
Anna Maria College,Pride Club,All LGBT and Allies,All LGBT and Allies,"We are an advocacy club created to provide a safe community on campus for students who identify as being lesbian, gay, bi-sexual, transgender, queer/questioning or other identities. The purpose of this Club is to unite students based on the LGBTQA+ community, and give them the space to speak openly and freely about LGBTQIA+ topics."
Assumption University,AU Allies,All LGBT and Allies,All LGBT and Allies,"AU Allies cultivates a campus environment that acknowledges and respects the human dignity of all persons, with special concern for members of the LGBTQIA+ community at Assumption."
Babson College,Babson Pride,All LGBT and Allies,All LGBT and Allies,"Pride is the Babson College student organization that promotes inclusivity within the LGBTQ+ (lesbian, gay, bisexual, transgender, queer/questioning) community. We work to develop a strong and supportive community in which students feel comfortable being and expressing themselves. Our work is carried out through the support of on and off-campus events."
Bay Path University,SAGA (Sexuality And Gender Alliance),All LGBT and Allies,All LGBT and Allies,"Our club is striving to create a safe and comfortable environment for those part of the LGBT+ spectrum and those who are allies to those on the spectrum. We welcome all, and hope to educate the campus on what it means to be LGBT+."
Bentley University,PRIDE (People Respecting Individuality & Diversity through Education),All LGBT and Allies,All LGBT and Allies,"People Respecting Individuality & Diversity through Education (PRIDE) provides a safe and supportive place for the LGBTQ community in hopes of raising awareness and spreading knowledge concerning LGBTQ issues. PRIDE strives to create acceptance and tolerance for all people in an open environment free of judgment and prejudice. PRIDE aims to do this through advocacy and equality, thereby building community and peaceful coexistence."
Berklee College of Music,SAGA (Sexuality And Gender Alliance),All LGBT and Allies,All LGBT and Allies,"Sexuality and Gender Alliance, otherwise known as SAGA!, is a community for the queer, questioning, and curious student body of Berklee. The group strives to make our club a safe and welcome space for everyone to be who they truly are and experiment with their identity without judgment. Our meetings range from fun game nights to educational presentations on queer topics."
Berkshire Community College,QSA (Queer Student Association),All LGBT and Allies,All LGBT and Allies,The Queer Student Association (QSA) at Berkshire Community College (BCC) is committed to providing a safe space for members of the BCC LGBTQ+ community. It is a judgement-free zone for any student in need of support regarding their sexual orientation or identity.
Boston Architectural College,Studio Q,All LGBT and Allies,All LGBT and Allies,"We are your resource to the BAC's lesbian, gay, bisexual, transgender, questioning, and ally community. Studio Q's mission is to strengthen the LGBTQ+ community within the BAC and throughout Boston through various social events and political activism."
Boston College,Allies,All LGBT and Allies,All LGBT and Allies,"Allies offers students a means to support and reach out to the LGBT+ community both on campus and off. The group works to foster a better community for both straight and LGBT+ students. We promote awareness of issues and offer support, through events of different kinds throughout the year."
Boston College,GPA (Graduate Pride Alliance),LGBT Grad Students,Specific Non-LGBT Identity,"Sponsored by Boston College's Graduate Student Association, the Graduate Pride Alliance (GPA) provides community, support, and fellowship for LGBTQ students and their allies."
Boston College,LAMBDA BC,LGBT in Law,Specific Academic Discipline,"Lambda is BC Law's LGBTQIA+ student affinity group. We're committed to providing space and resources for support, networking, community outreach, and advocacy."
Boston College,"oSTEM (Out in Science, Technology, Engineering, and Mathematics)",LGBT in STEM,Specific Academic Discipline,"oSTEM empowers LGBTQ+ people in STEM to succeed personally, academically, and professionally by cultivating environments and communities that nurture innovation, leadership, and advocacy."
Boston College,Out for Business,LGBT in Business,Specific Academic Discipline,"Out for Business is a club for LGBTQ+ students and allies who are interested in business to find community and resources to help them develop professionally. We offer students resources through networking events, professional panels, and resume workshops to help prepare them for the recruiting process. We also hold recreational bonding activities with other club members as well as with similar clubs at BU and Northeastern to build meaningful connection in the community."
Boston College,QLC (Queer Leadership Council),All LGBT and Allies,All LGBT and Allies,QLC is a division within UGBC dedicated to building community and advocating for LGBTQ+ students on Boston College's campus.
Boston College,Spectrum,LGBT in Social Work,Specific Academic Discipline,A student-led group for LGBTQIA+ students and allies in the BC School of Social Work.
Boston University,Pride in Business,LGBT in Business,Specific Academic Discipline,Pride in Business is a premier business club dedicated to the support and professional development of LGBTQ+ business leaders of all majors. We are dedicated to providing exclusive professional development opportunities and connecting LGBTQ+ students with the Diversity and Inclusion initiatives at top-tier companies. We also aim to provide a sense of community for queer individuals at Boston University as a whole.
Boston University,Queer Activist Collective,All LGBT and Allies,All LGBT and Allies,"The Queer Activist Collective (""Q"") is Boston University's largest LGBTQ+ student organization dedicated to ensuring the awareness, visibility, & full inclusion of the LGBTQ+ community. We are committed to creating programming that is uplifting and affirming for all LGBTQ+ community members. As a majority QTBIPOC & TGNCI Executive Board, we are especially passionate about supporting & advocating for communities who are often excluded from mainstream LGBTQ+ spaces. We host programming that includes events such as mental & sexual health workshops, BU faculty & staff panels, Know Your Rights legal workshops, game nights, allyship workshops, drag shows, & much more."
Boston University,SHADES,BIPOC LGBT,LGBT Students of Color,"SHADES is a community-centered organization for Boston University's queer and trans students of color. SHADES is the home for BU's QTBIPOC students on campus. We provide a safe space for these students to find community, express themselves and engage with events that center and cater to our experiences. We host meetings where our members can both engage in enriching conversations about topics and issues related to our experiences and enjoy unique, dynamic social events to relax and have fun. Additionally, we love to collaborate with other student groups, organizations and businesses that align with our vision and mission!"
Boston University,Trans Listening Circle,Trans/Gender Non-Conforming,Specific LGBT Identity,"Trans Listening Circle (TLC) is a weekly-meeting club for people who are transgender, nonbinary, gender non-conforming, questioning, and more to find community on campus. The topics discussed at meetings include gender, self-expression, and real-world problems as they relate to members of the Boston University community. TLC aims to provide resources and (non-professional) support, both in and out of meetings, as well as spread awareness of and facilitate inclusion regarding the incredible diversity on campus."
Brandeis University,The Intersection,BIPOC LGBT,LGBT Students of Color,"The Intersection is a club dedicated to queer BIPOC community at Brandeis University by queer BIPOC Brandeis students, by opening dialogues about the Black and Brown queer Brandeis experiences while curating queer joy! Our goal is to ultimately create a home in which queer Black and Brown people feel safe to engage in critical conversations on the intersection of race, ethnicity, and queer identity amongst other subject positions. With this club, we aim to center people of color's voices that have been less heard within the Brandeis community."
Brandeis University,Queer Jews at Brandeis,LGBT Jews,Religious Association,A community dedicated to exploring the intersection of Jewish and Queer identities! Allies are welcome!
Brandeis University,Triskelion,All LGBT and Allies,All LGBT and Allies,"Brandeis' oldest surviving LGBTQ+ student-led community! Our mission is to foster and perpetuate an environment, both within Brandeis and in the greater community, of acceptance, support, understanding and equality with regard to sexual/romantic orientation and gender identity/expression, accomplished through advocacy, activism, social events, creating and maintaining safe spaces, as well as referring to and utilizing other relevant campus resources."
Bridgewater State University,QPOC (Queer People of Color),BIPOC LGBT,LGBT Students of Color,Queer People of Color (QPOC) is a student run program that aims to uplift POC members of the LGBTQIA+ community. Programs are open to all LGBTQIA+ students and celebrates the intersectionality of identities. Led by students for students.
